farm_id,farmer_name,district,state,latitude,longitude,crop_type,farm_area,soil_health,soil_moisture,temperature,precipitation,humidity,drought_index,flood_risk,pest_risk,historical_yield,expected_yield,yield_variation,season,irrigation_status,weather_volatility,crop_price,previous_loss,climate_resilience,risk_score,crop_failure
FARM-001,Gurpreet Singh,Ludhiana,Punjab,30.9124,75.8573,Wheat,6.5,78.0,32.0,24.8,58.0,60.0,0.52,0.18,0.22,4.6,4.7,0.4,Rabi,Good,0.66,2275.0,0.28,0.52,0.1637,0
FARM-002,Geeta Das,Latur,Maharashtra,18.5569,76.6002,Cotton,2.58,61.2,30.7,28.9,28.6,51.2,0.356,0.142,0.676,1.57,1.57,0.324,Kharif,Good,0.648,6418.0,0.128,0.627,0.3489,1
FARM-003,Suresh Yadav,Sri Ganganagar,Rajasthan,30.0004,73.9998,Wheat,1.83,47.1,27.1,24.3,12.3,32.0,0.696,0.22,0.236,4.64,4.82,0.387,Rabi,Good,0.672,2541.0,0.273,0.623,0.5192,0
FARM-004,Raju Patil,Surat,Gujarat,20.9222,72.9443,Cotton,0.88,44.8,17.6,28.7,82.8,78.3,0.722,0.247,0.698,1.3,1.39,0.432,Kharif,Partial,0.326,6824.0,0.165,0.517,0.7079,0
FARM-005,Gurpreet Sharma,Agra,Uttar Pradesh,26.9594,77.78,Pulses,7.43,65.8,28.7,26.2,84.8,63.8,0.275,0.21,0.448,0.92,0.93,0.209,Rabi,Partial,0.204,6869.0,0.316,0.531,0.0534,0
FARM-006,Bhagwan Choudhary,Darbhanga,Bihar,26.0628,85.841,Wheat,3.58,76.7,31.2,26.2,62.2,71.9,0.482,0.69,0.373,5.86,6.83,0.228,Rabi,Good,0.345,2062.0,0.168,0.655,0.154,0
FARM-007,Suresh Murugan,Kolhapur,Maharashtra,16.8399,74.3183,Cotton,2.24,42.9,21.4,27.0,59.6,50.6,0.537,0.371,0.829,1.76,1.77,0.47,Kharif,None,0.261,6565.0,0.592,0.377,0.9557,1
FARM-008,Laxman Ghosh,Kota,Rajasthan,25.1674,75.8918,Mustard,1.9,28.7,14.0,28.7,64.5,46.9,0.79,0.218,0.362,0.93,0.92,0.483,Rabi,None,0.359,6333.0,0.394,0.286,0.8894,0
FARM-009,Sohan Pillai,Varanasi,Uttar Pradesh,25.1992,83.0262,Rice,3.77,38.8,38.6,27.2,76.1,74.9,0.323,0.28,0.532,4.27,4.47,0.385,Kharif,Good,0.222,2728.0,0.266,0.665,0.1035,0
FARM-010,Kishan Meena,Anantapur,Andhra Pradesh,14.6994,77.8357,Pulses,1.02,42.4,37.3,26.8,91.5,67.2,0.428,0.391,0.535,1.46,1.48,0.226,Rabi,Good,0.48,7093.0,0.209,0.624,0.2667,1
FARM-011,Mahesh Rathore,Guntur,Andhra Pradesh,16.2456,80.5846,Maize,0.93,64.3,35.0,26.2,93.1,50.4,0.581,0.453,0.336,3.65,3.57,0.268,Kharif,Partial,0.336,1824.0,0.441,0.532,0.2746,1
FARM-012,Narayan Rathore,Jabalpur,Madhya Pradesh,23.5287,80.1891,Pulses,3.14,55.5,32.0,25.4,85.7,52.3,0.559,0.335,0.343,0.91,0.86,0.39,Rabi,Good,0.468,4882.0,0.39,0.673,0.3848,0
FARM-013,Savita Das,Latur,Maharashtra,18.119,76.5065,Pulses,2.32,66.7,30.0,28.3,95.6,62.2,0.708,0.283,0.674,1.14,1.18,0.647,Rabi,Good,0.569,5884.0,0.158,0.618,0.599,0
FARM-014,Sukhwinder Bishnoi,Kota,Rajasthan,25.2634,76.2263,Wheat,1.98,39.7,15.3,25.7,14.1,35.9,0.446,0.273,0.177,3.48,3.59,0.611,Rabi,None,0.386,2568.0,0.187,0.253,0.9027,1
FARM-015,Prakash Ghosh,Nizamabad,Telangana,18.3727,77.8694,Maize,1.71,66.9,8.1,29.0,23.6,53.4,0.705,0.306,0.221,2.74,2.47,0.546,Kharif,None,0.229,2359.0,0.283,0.53,0.7232,1
FARM-016,Raju Jat,Ujjain,Madhya Pradesh,23.1285,75.7458,Wheat,3.69,65.8,47.1,22.7,110.0,56.4,0.277,0.127,0.457,4.22,3.76,0.317,Rabi,Good,0.333,2418.0,0.304,0.715,0.01,0
FARM-017,Suresh Sharma,Nashik,Maharashtra,20.4189,73.8656,Maize,2.19,67.0,40.7,28.9,124.2,51.5,0.3,0.177,0.289,3.96,3.84,0.115,Kharif,Good,0.108,2088.0,0.104,0.725,0.01,0
FARM-018,Sunita Murugan,Jabalpur,Madhya Pradesh,23.1168,79.806,Wheat,5.42,34.9,18.7,22.7,46.1,57.3,0.643,0.335,0.358,5.11,5.67,0.375,Rabi,Good,0.731,2482.0,0.275,0.448,0.842,1
FARM-019,Anil Murugan,Mysuru,Karnataka,12.4144,76.7832,Rice,3.12,40.4,41.6,26.7,57.4,75.5,0.573,0.194,0.496,4.41,4.73,0.396,Kharif,Good,0.5,2489.0,0.128,0.553,0.4387,0
FARM-020,Shanti Chauhan,Bhopal,Madhya Pradesh,23.3283,77.6417,Pulses,2.24,46.3,20.6,25.3,87.1,50.4,0.528,0.46,0.287,1.65,1.69,0.671,Rabi,Partial,0.432,7298.0,0.174,0.439,0.6797,1
FARM-021,Mohan Rathore,Dharwad,Karnataka,15.3327,75.1844,Cotton,1.75,70.0,33.3,26.6,89.8,64.7,0.347,0.252,0.6,1.39,1.35,0.138,Kharif,Partial,0.306,6773.0,0.207,0.498,0.0862,0
FARM-022,Lakshmi Gowda,Murshidabad,West Bengal,24.0301,88.1696,Rice,2.53,62.6,45.0,29.3,81.9,78.8,0.157,0.493,0.39,5.46,5.53,0.435,Kharif,Good,0.31,2376.0,0.186,0.662,0.1125,0
FARM-023,Bhagwan Gowda,Thanjavur,Tamil Nadu,11.0865,79.1957,Sugarcane,1.1,57.0,34.0,31.1,111.7,75.1,0.468,0.5,0.392,76.76,80.67,0.537,Annual,Partial,0.457,313.0,0.218,0.479,0.7262,1
FARM-024,Anita Kumar,Raichur,Karnataka,16.2899,77.4434,Maize,2.89,68.1,34.1,27.3,106.6,64.6,0.413,0.357,0.464,2.76,2.67,0.417,Kharif,Partial,0.208,2099.0,0.235,0.485,0.1484,0
FARM-025,Pushpa Rao,Krishna,Andhra Pradesh,16.6238,81.0109,Pulses,1.91,36.0,30.5,28.6,73.2,74.5,0.435,0.352,0.664,1.15,1.18,0.315,Rabi,Partial,0.302,6628.0,0.44,0.456,0.6896,0
FARM-026,Dinesh Jat,Murshidabad,West Bengal,24.064,88.2592,Rice,3.38,81.9,29.2,26.8,107.3,73.2,0.205,0.486,0.498,5.31,5.58,0.164,Kharif,None,0.103,2410.0,0.207,0.611,0.0115,0
FARM-027,Lakshmi Das,Hooghly,West Bengal,23.1346,88.5412,Pulses,2.03,53.3,34.1,26.5,125.6,84.1,0.362,0.563,0.584,0.96,0.98,0.326,Rabi,Good,0.307,6753.0,0.205,0.517,0.2997,1
FARM-028,Radha Yadav,Bardhaman,West Bengal,23.2731,88.0333,Rice,1.66,73.7,32.8,27.2,119.3,55.4,0.054,0.355,0.358,3.4,3.41,0.216,Kharif,Partial,0.269,2367.0,0.056,0.583,0.0204,0
FARM-029,Shanti Murugan,Sri Ganganagar,Rajasthan,30.055,74.2281,Pulses,1.04,37.8,8.0,31.3,15.9,36.1,0.712,0.037,0.333,1.2,1.26,0.464,Rabi,None,0.434,6119.0,0.36,0.267,0.8714,1
FARM-030,Babu Rathore,Salem,Tamil Nadu,11.6756,78.2089,Sugarcane,2.51,64.3,28.1,30.4,150.3,60.0,0.464,0.291,0.279,83.64,87.8,0.269,Annual,None,0.274,382.0,0.219,0.475,0.158,0
FARM-031,Rajinder Das,Bhavnagar,Gujarat,21.652,72.4416,Wheat,2.11,69.1,10.2,23.2,15.1,55.5,0.572,0.328,0.354,4.2,4.37,0.789,Rabi,None,0.224,2378.0,0.545,0.508,0.8724,1
